IndividualID,SiteID,Country,Latitude,Longitude,Period,PhaseID,gaussianModelMu,gaussianModelSigma,YearBP,RiteID,Culture,Sex,DepositionType,Dismembered,Head,BodyPositioning,BurialSide,BurialOrientationMin,BurialOrientationMax,GraveGoods,Ochre,DepositionType_bog body,DepositionType_cenotaph,DepositionType_cremation,DepositionType_disarticulated,DepositionType_inhumation,DepositionType_inhumation: carbonized,BodyPositioning_crouched,BodyPositioning_extended,"BodyPositioning_extended, rhomboid",BodyPositioning_heap,BodyPositioning_inside a vessel,BodyPositioning_irregular,BodyPositioning_prone,BodyPositioning_scattered,BodyPositioning_sitting,BurialSide_back,BurialSide_back/left,BurialSide_back/right,BurialSide_bottom,BurialSide_front,BurialSide_front/left,BurialSide_front/right,BurialSide_left,BurialSide_left/back,BurialSide_left/front,BurialSide_right,BurialSide_right/back,BurialSide_right/front,CitationID,aDNAID,Num,ANCE1_v2,ANCE2_v2,ANCE3_v2,ANCE4_v2,ANCE5_v2,ANCE6_v2,ANCE7_v2,ANCE8_v2,ANCE9_v2,mobility_MDS_250y_retrospective,mobility_PCA_250y_retrospective,AncestryMatch_distance,MobilityMatch_distance,aDNACitationID,time_added,user_added,time_last_update,user_last_update
C03294,S10044,Poland,50.09,18.1,Neolithic,KOR3,4250,231,4250,R02368,Bell Beaker complex,0,inhumation,0,,crouched,back,,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,olald2018a,I6581,3477,0.00104075,0.35307075,1e-05,0.17861425,0.00304425,0.42171275,0.00080725,0.041172,0.0005285,403.75,550.75,407.910368270014,20,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03295,S10044,Poland,50.09,18.1,Neolithic,KOR3,4250,231,4173,R02369,Bell Beaker complex,1,inhumation,0,,crouched,back,135,225,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,olald2018a,I6582,3478,0.00104075,0.33270175,1e-05,0.17870325,0.00329975,0.4445435,0.00080725,0.0383655,0.0005285,,,330.910368270014,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03296,S10044,Poland,50.09,18.1,Neolithic,KOR3,4250,231,4250,R02370,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olald2018a,,1318,0.00104075,0.35307075,1e-05,0.17861425,0.00304425,0.42171275,0.00080725,0.041172,0.0005285,403.75,550.75,407.910368270014,20,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03297,S10044,Poland,50.09,18.1,Neolithic,KOR3,4250,231,4250,R02371,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olald2018a,,1319,0.00104075,0.35307075,1e-05,0.17861425,0.00304425,0.42171275,0.00080725,0.041172,0.0005285,403.75,550.75,407.910368270014,20,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03298,S10044,Poland,50.09,18.1,Neolithic,KOR3,4250,231,4250,R02372,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olald2018a,,1320,0.00104075,0.35307075,1e-05,0.17861425,0.00304425,0.42171275,0.00080725,0.041172,0.0005285,403.75,550.75,407.910368270014,20,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03299,S10044,Poland,50.09,18.1,Neolithic,KOR3,4250,231,4250,R02373,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olald2018a,,1321,0.00104075,0.35307075,1e-05,0.17861425,0.00304425,0.42171275,0.00080725,0.041172,0.0005285,403.75,550.75,407.910368270014,20,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03300,S10045,Poland,50.11,18.21,Bronze Age,RAC1,3920,146,4128,R02374,,0,inhumation,0,,crouched,right,0,90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,I6537,3472,0.00104075,0.33270175,1e-05,0.17870325,0.00329975,0.4445435,0.00080725,0.0383655,0.0005285,,,293.60760870165,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03301,S03884,Poland,50.91,16.79,Neolithic,STW3,3939,206,3939,R02375,Bell Beaker complex,1,inhumation,0,,extended,back,135,225,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,olald2018a,I6538,3473,0.00097025,0.3747235,0.00095775,0.14569425,0.0036485,0.415379,0.00047525,0.0581415,1e-05,153.75,752.25,149.01091012466,123.76863661723,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03302,S10046,Poland,50.96,17.02,Neolithic,ZRW1,4001,199,4135,R02376,Bell Beaker complex,1,inhumation,0,,,,,,1,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,olald2018a,I6583,3479,0.00104075,0.356451,1e-05,0.150454,0.0026955,0.433576,1e-05,0.05523475,0.0005285,,,239.694468495369,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03303,S10047,Hungary,47.621,19.045,Bronze Age,BUD1,4277,42,4364,R02377,Bell Beaker complex,0,inhumation,0,,,left,315,45,1,0,0,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I3528,3238,,,,,,,,,,,,467.115914714669,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03304,S10047,Hungary,47.621,19.045,Bronze Age,BUD1,4277,42,4300,R02378,Bell Beaker complex,1,inhumation,0,,,right,135,225,1,0,0,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,I3529,3239,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,413.380238443962,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03305,S10048,Hungary,47.599,19.055,Bronze Age,BBE1,4271,36,4271,R02379,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fisch2015a,,1322,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,397.5,450.25,382.884788320365,22,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03306,S10048,Hungary,47.599,19.055,Bronze Age,BBE1,4271,36,4271,R02380,Bell Beaker complex,0.5,inhumation,0,,crouched,right,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,,1323,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,397.5,450.25,382.884788320365,22,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03307,S10048,Hungary,47.599,19.055,Bronze Age,BBE1,4271,36,4230,R02381,Bell Beaker complex,0,inhumation,0,,crouched,right,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,I2364,3178,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,341.884788320365,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03308,S10048,Hungary,47.599,19.055,Bronze Age,BBE1,4271,36,4271,R02382,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fisch2015a,,1324,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,397.5,450.25,382.884788320365,22,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03309,S10048,Hungary,47.599,19.055,Bronze Age,BBE1,4271,36,4271,R02383,Bell Beaker complex,1,inhumation,0,,crouched,right,135,225,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,I5015,3363,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,397.5,450.25,382.884788320365,22,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03310,S10048,Hungary,47.599,19.055,Bronze Age,BBE1,4271,36,4293,R02384,Bell Beaker complex,0,inhumation,0,,crouched,left,0,90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I2365,3179,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,404.884788320365,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03311,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02385,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1325,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03312,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02386,Bell Beaker complex,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1326,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03313,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4239,R02387,Bell Beaker complex,0.5,inhumation,0,,crouched,left,0,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I2741,3229,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,347.76832861947,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03314,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02388,Bell Beaker complex,0.5,inhumation,0,1,crouched,left,30,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,patay2013a,,1327,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03315,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02389,Bell Beaker complex,0.5,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1328,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03316,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02390,Bell Beaker complex,0.5,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1329,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03317,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02391,Bell Beaker complex,0.5,inhumation,0,1,crouched,left,170,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,patay2013a,,1330,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03318,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02392,Bell Beaker complex,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1331,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03319,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02393,Bell Beaker complex,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1332,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03320,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4269,R02394,Bell Beaker complex,0.5,inhumation,0,,crouched,left,0,90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I2786,3230,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,377.76832861947,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03321,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02395,Bell Beaker complex,0.5,cremation,1,,inside a vessel,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,patay2013a,,1333,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03322,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02396,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fisch2015a,,1334,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03323,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02397,Bell Beaker complex,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1335,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03324,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02398,Bell Beaker complex,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1336,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03325,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02399,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1337,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03326,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02400,Bell Beaker complex,0.5,cremation,1,,inside a vessel,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,patay2013a,,1338,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03327,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02401,Bell Beaker complex,0.5,,,,,,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1339,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03328,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02402,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fisch2015a,,1340,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03329,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02403,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fisch2015a,,1341,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03330,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02404,Bell Beaker complex,0.5,inhumation,0,1,crouched,left,350,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,patay2013a,,1342,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03331,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4300,R02405,Bell Beaker complex,0.5,inhumation,0,,crouched,left,0,90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I4178,3289,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,408.76832861947,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03332,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02406,Bell Beaker complex,0.5,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1343,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03333,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02407,Bell Beaker complex,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1344,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03334,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4271,R02408,Bell Beaker complex,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,patay2013a,,1345,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,735.75,826.5,379.76832861947,2,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03335,S10049,Hungary,47.383,19.02,Bronze Age,SZIF1,4271,35,4249,R02409,Bell Beaker complex,0.5,inhumation,0,,crouched,left,0,90,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I2787,3231,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,357.76832861947,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03336,S10050,Hungary,47.43,19.052,Bronze Age,SZIU3,4761,62,4230,R02410,Bell Beaker complex,1,inhumation,0,,crouched,right,180,270,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,I7045,3491,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,337.309858527976,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03337,S10050,Hungary,47.43,19.052,Bronze Age,SZIU3,4761,62,4761,R02411,Nagyrév,0,inhumation,0,,crouched,left,315,45,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I7041,3487,0.000865,0.02319775,0.00145375,0.2239535,0.00242875,0.72623,1e-05,0.0218505,1.125e-05,545.75,447.75,81.4067894353586,273.461634605492,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03338,S10050,Hungary,47.43,19.052,Bronze Age,SZIU3,4761,62,4300,R02412,Bell Beaker complex,0,inhumation,0,,crouched,right,135,225,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,I7044,3490,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,407.309858527976,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03339,S10050,Hungary,47.43,19.052,Bronze Age,SZIU3,4761,62,4013,R02413,Bell Beaker complex,0.5,inhumation,0,,crouched,left,90,180,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I7043,3489,0.004077,0.253268666666667,1e-05,0.185671,0.00299333333333333,0.519944666666667,1e-05,0.033324,0.000701333333333333,,,164.309858527976,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03340,S10050,Hungary,47.43,19.052,Bronze Age,SZIU3,4761,62,6082,R02414,Nagyrév,0.5,inhumation,0,,extended,left,180,270,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,olald2018a,I7042,3488,0.000769,0.010433,0.007718,0.124297,0.005265,0.816293,1e-05,0.033741,0.001472,,,357.055078968898,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03341,S10050,Hungary,47.43,19.052,Bronze Age,SZIU3,4761,62,4300,R02415,Bell Beaker complex,0.5,inhumation,0,,extended,right,0,90,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,olald2018a,I7040,3486,0.0020715,0.2735675,1e-05,0.2178365,0.00043,0.479612,1e-05,0.0254155,0.001047,,,407.309858527976,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03342,S10051,Hungary,47.81,20.889,Eneolithic,MEZ1,5211,252,5211,R02416,Yamnaya,0.5,inhumation,0,,crouched,right,225,315,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,kalic1999a,I5116,3382,0.009038,0.011484,1e-05,0.193359,1e-05,0.766845,1e-05,0.019234,1e-05,161.75,120,349.631117453465,109.394647132649,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03343,S10051,Hungary,47.81,20.889,Eneolithic,MEZ1,5211,252,5211,R02417,Yamnaya,0.5,inhumation,0,,crouched,left,,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kalic1999a,,1346,0.009038,0.011484,1e-05,0.193359,1e-05,0.766845,1e-05,0.019234,1e-05,161.75,120,349.631117453465,109.394647132649,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03344,S10051,Hungary,47.81,20.889,Eneolithic,MEZ1,5211,252,5211,R02418,Yamnaya,0.75,inhumation,0,1,extended,left,200,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kalic1999a,I5117,3383,0.009038,0.011484,1e-05,0.193359,1e-05,0.766845,1e-05,0.019234,1e-05,161.75,120,349.631117453465,109.394647132649,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03345,S10051,Hungary,47.81,20.889,Eneolithic,MEZ1,5211,252,5100,R02419,Yamnaya,0.25,inhumation,0,1,sitting,bottom,140,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,kalic1999a,I5118,3384,0.00301933333333333,0.0247383333333333,0.00180633333333333,0.217431333333333,0.00116666666666667,0.744631666666667,0.000778333333333333,0.006418,1e-05,,,297.406922884417,,olald2018a,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:35:58Z,robert@localhost
C03346,S10051,Hungary,47.81,20.889,Eneolithic,MEZ1,5211,252,5211,R02420,Yamnaya,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,kalic1999a,,1347,0.009038,0.011484,1e-05,0.193359,1e-05,0.766845,1e-05,0.019234,1e-05,161.75,120,349.631117453465,109.394647132649,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03347,S10051,Hungary,47.81,20.889,Eneolithic,MEZ1,5211,252,5211,R02421,Yamnaya,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,kalic1999a,,1348,0.009038,0.011484,1e-05,0.193359,1e-05,0.766845,1e-05,0.019234,1e-05,161.75,120,349.631117453465,109.394647132649,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
C03348,S10051,Hungary,47.81,20.889,Eneolithic,MEZ1,5211,252,5211,R02422,Yamnaya,0.5,cremation,1,,,,,,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,kalic1999a,,1349,0.009038,0.011484,1e-05,0.193359,1e-05,0.766845,1e-05,0.019234,1e-05,161.75,120,349.631117453465,109.394647132649,,2024-06-03T22:24:47Z,robert@localhost,2024-06-03T22:24:47Z,robert@localhost
