"SiteID","Latitude","Longitude","PhaseID","gaussianModelMu","gaussianModelSigma","aDNAID","aDNACitationID","DepositionType","RiteID","IndividualID","Dismembered","Head","BodyPositioning","BurialSide","BurialOrientationMin","BurialOrientationMax","GraveGoods","Ochre","CitationID","time_added","user_added","time_last_update","user_last_update"
"S10567","48.280","18.090","NITRHK1","7052","102","I11872","gelab2023a","inhumation","R00026","C00026","0","1","crouched","left","135",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I25201","gelab2023a","inhumation","R00027","C00027","0","1","crouched","left","100",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00028","C00028","0","1","crouched","left","0","90",\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16012","gelab2023a","inhumation","R00029","C00029","0","1","crouched","left","134",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I14179","gelab2023a","inhumation","R00030","C00030",\N,\N,\N,\N,\N,\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00031","C00031",\N,\N,"crouched","left","90","180",\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00032","C00032","0","1","crouched","left","111",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I17340","gelab2023a","inhumation","R00033","C00033","0","1","crouched","left","110",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00034","C00034","0","1","crouched","left","168",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00035","C00035","0","1","crouched","left","90",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
