IndividualID;Culture;Period
C09413;\N;Mesolithic
C09414;\N;Mesolithic
C09415;\N;Mesolithic
C09420;\N;Mesolithic
C09421;\N;Mesolithic
C09422;\N;Mesolithic
C09423;\N;Mesolithic
C09424;\N;Mesolithic
C09425;\N;Neolithic
C09431;\N;Neolithic
C09432;\N;Neolithic
C09443;\N;Neolithic
C09444;\N;Neolithic
C09445;\N;Neolithic
C09446;\N;Neolithic
C09447;\N;Neolithic
C09448;\N;Neolithic
C09449;\N;Neolithic
C09450;\N;Neolithic
C09451;\N;Neolithic
C09452;\N;Neolithic
C09453;\N;Neolithic
C09459;\N;Mesolithic
C09460;\N;Neolithic
C09461;\N;Neolithic
C09464;\N;Mesolithic
C09465;\N;Mesolithic
C09466;\N;Mesolithic
C09475;\N;Bronze Age
C09477;\N;Neolithic
C09478;\N;Neolithic
C09479;\N;Neolithic
C09480;\N;Neolithic
C09481;\N;Neolithic
C09482;\N;Bronze Age
C09483;\N;Neolithic
C09484;\N;Neolithic
C09485;\N;Neolithic
C09486;\N;Neolithic
C09499;\N;Neolithic
C09501;\N;Neolithic
C09506;\N;Neolithic
C09507;\N;Neolithic
C09509;\N;Neolithic
C09516;\N;Mesolithic/Neolithic
C09517;\N;Neolithic
C09519;\N;Neolithic
C09520;\N;Neolithic
C09521;\N;Neolithic
C09522;\N;Neolithic
C09523;\N;Neolithic
C09524;\N;Neolithic
C09525;\N;Neolithic
C09526;\N;Neolithic
C09528;\N;Neolithic
C09529;\N;Neolithic
C09530;\N;Neolithic
C09531;\N;Mesolithic
C09532;\N;Neolithic
C09533;\N;Neolithic
C09534;\N;Neolithic
C09535;\N;Neolithic
C09536;\N;Neolithic
C09537;\N;Neolithic
C09538;\N;Neolithic
C09539;\N;Neolithic
C09541;\N;Neolithic
C09546;\N;Medieval
C09549;\N;Neolithic
C09550;\N;Neolithic
C09553;\N;Bronze Age
C09556;\N;Neolithic
C09563;\N;Bronze Age
C09565;\N;Neolithic
C09566;\N;Mesolithic/Neolithic
C09651;\N;Neolithic
C09657;\N;Neolithic
C09658;\N;Neolithic
C09659;\N;Iron Age
C09661;\N;Neolithic
C09662;\N;\N
C09663;\N;Neolithic
C09664;\N;Neolithic
C09718;\N;Neolithic
C09719;\N;Bronze Age
C09720;\N;Neolithic
C09721;\N;Mesolithic
C09722;\N;Paleolithic
C09753;\N;Bronze Age/Iron Age
C09783;\N;Bronze Age/Iron Age
C09784;\N;Bronze Age/Iron Age
C09840;\N;Neolithic
C10304;\N;Neolithic
C10305;\N;Neolithic
C10306;\N;Neolithic
C10307;\N;Neolithic
