IND	LAT	LON	TIME	ANCE1	ANCE2	ANCE3	ANCE4	ANCE5	ANCE6	ANCE7	ANCE8	ANCE9
RISE484	47.4298086383007	18.9879211799242	3700	0.003413	0.251003	1e-05	0.176684	0.002469	0.549358	1e-05	0.015414	0.001638
RISE480	47.3411721567716	18.9101216709707	3550	2.2e-05	0.222147	1e-05	0.142422	1e-05	0.612568	1e-05	0.022801	1e-05
RISE247	47.410165868206	19.0576084451191	3628.5	1e-05	0.188392	1e-05	0.117814	0.002674	0.64628	1e-05	0.044532	0.000278
BR2	47.7613763187826	19.8719103430398	3140	1e-05	0.235886	0.001317	0.168302	1e-05	0.534031	1e-05	0.060424	1e-05
DA195	46.2832071708608	20.1978873544279	2691.5	0.004489	0.234253	0.001013	0.124262	1e-05	0.547433	1e-05	0.087709	0.000821
DA194	46.25148664332	20.1704527229443	2338.5	0.002497	0.267723	0.000384	0.203091	1e-05	0.477021	0.001528	0.047736	1e-05
DA198	46.4013142874092	20.1538037010375	2453	0.000278	0.177618	0.004737	0.080673	1e-05	0.624928	1e-05	0.111736	1e-05
DA197	46.2993206978869	20.2376987075806	2455.5	1e-05	0.260562	1e-05	0.178342	1e-05	0.491002	0.000377	0.069676	1e-05
DA191	47.5197041576635	20.6129658430722	2481	1e-05	0.283883	0.001593	0.198834	0.002902	0.467994	0.00237	0.042403	1e-05
SZ11	46.2746360813919	17.8649465254508	1442	1e-05	0.332332	0.000336	0.136334	1e-05	0.502672	1e-05	0.028287	1e-05
SZ15	46.2819027428702	17.7944192190655	1442	1e-05	0.335349	1e-05	0.126691	0.000175	0.492648	0.013077	0.032031	1e-05
SZ2	46.1960784881096	17.831839608727	1442	1e-05	0.349219	0.003884	0.157877	0.001955	0.467366	1e-05	0.019669	1e-05
SZ3	46.2892240329832	17.8895502466243	1442	0.001881	0.27985	1e-05	0.125285	0.005898	0.535257	0.000471	0.051339	1e-05
SZ36	46.3217613413651	17.8582647514064	1442	0.000632	0.169559	0.006344	0.078893	0.000741	0.588351	0.001346	0.154125	1e-05
SZ4	46.2672038602363	17.7618864652701	1442	0.000439	0.337392	1e-05	0.150787	0.004674	0.483566	1e-05	0.023113	1e-05
SZ45	46.2894112855848	17.8452780026477	1442	1e-05	0.242443	0.010154	0.109304	0.007757	0.539289	1e-05	0.091024	1e-05
SZ5	46.3770988735557	17.9100254968274	1442	1e-05	0.274956	0.001993	0.129597	0.009094	0.505905	0.002328	0.076107	1e-05
SZ43	46.3706320576556	17.9200693982188	1430.5	0.004267	0.186064	1e-05	0.066193	0.000748	0.596264	0.003396	0.143048	1e-05
SZ1	46.2214792268537	17.8709081953857	1250	0.011085	0.181345	0.005033	0.076052	0.006673	0.528736	0.0374	0.134803	0.018873
DA199	47.5382988091931	21.0199571650289	706	1e-05	0.250888	1e-05	0.126287	0.006125	0.507813	0.009463	0.095071	0.004334
DA119	49.142089890847	20.2585305702221	1600	1e-05	0.329575	1e-05	0.123949	0.004067	0.504185	0.006612	0.031582	1e-05
kol6	49.9912045185175	15.1190511330962	6690	0.001082	0.004361	0.005397	0.103236	0.004124	0.822716	0.001545	0.055008	0.00253
RISE566	50.0847597976495	14.3526952931099	4106	1e-05	0.33671	1e-05	0.158684	1e-05	0.471643	1e-05	0.032913	1e-05
RISE586	48.7238608001266	17.0446288434137	4000	0.004133	0.343532	1e-05	0.157186	1e-05	0.475364	1e-05	0.017672	0.002084
RISE577	50.1782792372443	14.2686280772369	4000	1e-05	0.332043	1e-05	0.143151	0.005892	0.43931	1e-05	0.079564	1e-05
DA111	50.4417534938455	14.0167988031637	2758	1e-05	0.250435	1e-05	0.158154	1e-05	0.553281	1e-05	0.038079	1e-05
DA112	50.456438266756	13.9505045246333	2661	1e-05	0.262941	1e-05	0.201928	0.004125	0.492664	0.000293	0.032903	0.005126
RISE569	50.1884968207777	14.1358595690131	1235	0.005219	0.305527	0.005363	0.133668	1e-05	0.485848	0.009788	0.054567	1e-05
PL_N22	52.6122192242555	18.8259466946591	6291	1e-05	0.088475	1e-05	0.884628	1e-05	0.026837	1e-05	1e-05	1e-05
PL_N36	50.6247179817222	21.4124384202249	6250	0.005179	0.008579	0.003206	0.170821	0.001955	0.761953	1e-05	0.048288	1e-05
PL_N26	50.6883536018711	21.4753061493114	6151	0.00478	0.010949	0.006094	0.103342	0.002478	0.826169	1e-05	0.046167	1e-05
PL_N25	52.5953669644333	18.7381762727629	6250	0.004862	0.015133	0.004356	0.131356	0.000907	0.794441	1e-05	0.047986	0.00095
PL_N27	52.6517510858737	18.8981777081732	6250	1e-05	0.017195	0.0038	0.144991	0.006028	0.786591	1e-05	0.039507	0.001867
PL_N31	52.5331198444962	18.7857287991326	6137.5	1e-05	0.011527	1e-05	0.164144	0.010069	0.789228	1e-05	0.021876	0.003126
PL_N28	52.7069021718949	18.8715389799327	6073.5	0.00925	0.005096	0.008554	0.12218	0.000579	0.813376	1e-05	0.039029	0.001927
PL_N42	52.5941454638168	18.7377499262802	6055	1e-05	0.027793	1e-05	0.492863	1e-05	0.451485	1e-05	0.027809	1e-05
PL_N18	52.6519245927967	19.0253301062062	5462.5	1e-05	0.001282	1e-05	0.22533	0.003278	0.754924	1e-05	0.015145	1e-05
PL_N19	52.5930574716814	18.9264231094997	5462	1e-05	0.011631	1e-05	0.122226	1e-05	0.811547	1e-05	0.054546	1e-05
PL_N20	52.7165257727075	18.9368481860869	5462	0.003013	1e-05	0.002455	0.222659	1e-05	0.748837	1e-05	0.015126	0.00788
NEO641	50.1882908850722	20.3775987552479	5132	0.009038	0.011484	1e-05	0.193359	1e-05	0.766845	1e-05	0.019234	1e-05
NEO640	50.2019036720321	20.4315891247708	4902	1e-05	0.034299	1e-05	0.200513	1e-05	0.765128	1e-05	1e-05	1e-05
PL_N38	52.5350692701433	18.8338571415748	5033	0.000485	0.028367	0.003608	0.239175	0.004612	0.71432	1e-05	0.007572	0.001852
RISE1166	48.7038403119892	21.2953054925427	4907.5	1e-05	0.028432	0.005399	0.258422	0.00348	0.701922	0.002315	1e-05	1e-05
RISE1161	48.6617663037032	21.1037801579572	4757	1e-05	0.025988	0.001496	0.244868	0.00395	0.715079	1e-05	0.008589	1e-05
RISE1170	48.6466998048592	21.171345891431	4748.5	1e-05	0.023695	0.001786	0.245852	0.002046	0.726582	1e-05	1e-05	1e-05
RISE1165	48.752039177157	21.2109062633477	4742.5	0.002739	0.024739	0.002523	0.249325	0.003709	0.710961	1e-05	0.005979	1.5e-05
RISE1159	48.7495138275437	21.1280607832596	4730	1e-05	0.023887	1e-05	0.251684	0.003145	0.721234	1e-05	1e-05	1e-05
RISE1168	48.7788824054413	21.1828634613194	4676	0.004182	0.013649	1e-05	0.27359	0.003166	0.699747	1e-05	0.005636	1e-05
RISE1172	48.6247860062867	21.1126560239121	4674.5	0.006829	0.005569	0.001144	0.221769	0.00084	0.760394	1e-05	0.003435	1e-05
RISE1252	50.8532624628395	21.4939101159573	4725	1e-05	0.02973	0.004206	0.249037	1e-05	0.716977	1e-05	1e-05	1e-05
RISE1241	50.6415944980457	21.7179401250556	4752.5	0.001469	0.021724	0.003683	0.250703	0.001304	0.717625	1e-05	1e-05	0.003473
RISE1250	50.5614059404004	21.7562473397236	4725	0.005119	0.028674	1e-05	0.231328	0.00354	0.731299	1e-05	1e-05	1e-05
RISE1249	50.2669395241886	21.3082916550804	4736.5	0.002692	0.033637	1e-05	0.230088	1e-05	0.733532	1e-05	1e-05	1e-05
RISE1248	50.1277080263477	21.4105141940992	4725	0.003544	0.039638	1e-05	0.266139	1e-05	0.680922	1e-05	0.009717	1e-05
RISE1246	50.1706458028406	21.4864128942136	4715	0.002089	0.019841	1e-05	0.229769	1e-05	0.736316	1e-05	1e-05	0.011946
RISE1254	51.0450270154513	17.1470293128397	4725	0.00184	0.030909	0.003989	0.24111	1e-05	0.719727	0.000438	0.000575	0.001402
poz81	52.3011499241553	17.4631761328317	4705	1e-05	0.578079	1e-05	0.082523	1e-05	0.212886	1e-05	0.126462	1e-05
poz44	52.3058094885759	17.5903961455915	4675	1e-05	0.552338	1e-05	0.096405	1e-05	0.306476	1e-05	0.044731	1e-05
PL_N44	52.539386060629	19.0475211841427	4450	0.001965	0.466657	1e-05	0.103078	0.005888	0.334595	1e-05	0.087787	1e-05
PL_N45	52.6342849504482	18.9323484825343	4405	1e-05	0.413519	1e-05	0.142795	0.00487	0.347987	1e-05	0.09079	1e-05
PL_N47	52.6228388274368	19.015422959011	4405	1e-05	0.318522	1e-05	0.255792	0.007287	0.391857	0.003199	0.023313	1e-05
PL_N49	52.6532004164346	18.9477363789827	4405	1e-05	0.34827	1e-05	0.256145	0.000187	0.330347	1e-05	0.06501	1e-05
PL_N17	52.5979028521478	18.9779413958732	3845.5	0.005088	0.405972	0.001499	0.129687	0.00368	0.381389	1e-05	0.072664	1e-05
RISE109	50.9670688736439	17.1097776173893	3813	1e-05	0.396114	1e-05	0.152761	0.001002	0.411928	0.001871	0.036294	1e-05
RISE154	51.02177776834	16.9846693941485	3795	0.003851	0.382448	1e-05	0.138617	1e-05	0.413928	1e-05	0.061116	1e-05
RISE150	50.9480038909987	16.9183424304146	3739	1e-05	0.388289	0.003801	0.148248	0.00769	0.39635	1e-05	0.055592	1e-05
VK212	52.7912238565926	14.1936057529878	889	1e-05	0.35172	1e-05	0.177792	1e-05	0.430971	0.003247	0.036231	1e-05
VK211	52.8125319643132	14.1858162692748	700	0.010083	0.278532	1e-05	0.15219	0.000309	0.527698	1e-05	0.031158	1e-05
