mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type,Effect
-10.5189168469208,9.76800960652969,-29.6759055826183,-10.5187718918717,8.63725326865626,-10.5184803458768,5.52022168248978e-11,Left,Intercept,Intercept,Fixed
0.897843049347179,0.386082404286514,0.0799391001654101,1.0216557447113,1.37968496368258,1.0644401523426,1.71998033995668e-05,Left,Mobility,Mobility,Fixed
1.67390328424041,1.71198234371873,-1.85814655433399,1.72431517659024,4.8989135384741,1.80712674605591,5.78981915049432e-08,Left,EHG,Ancestry,Fixed
1.37210868656175,1.96078703586521,-2.70382688216289,1.43876408609545,5.03959870018687,1.54691619697771,7.65846534692507e-08,Left,LVN,Ancestry,Fixed
0.0468249448071956,0.323240020723364,-0.677779499969225,0.0788699914874101,0.605144254964156,0.131417148056456,6.14389591573022e-07,Left,CHG,Ancestry,Fixed
-7.10658135224138,9.67553246016721,-26.0818647773428,-7.10655712945043,11.8685649663938,-7.10650870210423,5.52440333481846e-11,Right,Intercept,Intercept,Fixed
-0.531317297520733,0.25371222467897,-0.884265306097694,-0.599510728149278,0.0405959062541442,-0.64300076676285,7.44238307619357e-07,Right,Mobility,Mobility,Fixed
-1.57078288157851,1.54440660361586,-4.58310800896265,-1.57830777660873,1.48603500751964,-1.59163606349023,4.4837361553721e-09,Right,EHG,Ancestry,Fixed
-1.04736014287316,1.72429098563136,-4.46756334667333,-1.03734887762527,2.31213518002325,-1.02108389170213,6.17222375035321e-09,Right,LVN,Ancestry,Fixed
0.146143067984083,0.282898684554822,-0.384814823258433,0.136774377092461,0.730784987997032,0.119107919264226,9.302664052262e-08,Right,CHG,Ancestry,Fixed
-1.51161278885488,9.87239625923167,-20.8696892957307,-1.512690828388,17.852543214415,-1.51486687829889,6.06361841197034e-11,Back,Intercept,Intercept,Fixed
-0.49251657789763,0.545667752469393,-1.67561820528446,-0.452517414755725,0.479844924344991,-0.375396789893231,3.77083170149829e-07,Back,Mobility,Mobility,Fixed
-2.11646381235137,2.13487204461878,-6.93116871320116,-1.95002935754553,1.6469366043904,-1.71144379351582,3.61511403508176e-07,Back,EHG,Ancestry,Fixed
-3.57205075368447,2.59313638216986,-9.21027582430704,-3.4219412730409,1.1548180142686,-3.18224840691842,2.48666333619007e-07,Back,LVN,Ancestry,Fixed
-0.254185284093731,0.704514855805809,-1.67464510961517,-0.2453574099288,1.10970975765722,-0.232505470588449,2.39119632801369e-08,Back,CHG,Ancestry,Fixed
11.6427619283385,9.78295213306387,-7.542830691146,11.6426586921823,30.8289376848114,11.6424511656611,5.51883585544231e-11,Left,Baden,Culture,Random
-29.7467014651539,16.2942179292215,-61.7236468402406,-29.7419220823212,2.20771754665063,-29.7285495444169,6.95477949829558e-12,Left,Baltic Meso-Neolithic,Culture,Random
10.8238504900034,9.78700063781105,-8.36967230182452,10.8237456974396,30.0179655630402,10.8235353745855,5.53079081747349e-11,Left,Bell Beaker,Culture,Random
10.2390334856987,9.79270141927142,-8.965692972625,10.2389367161001,29.4443068036202,10.2387424237899,5.52862845725917e-11,Left,Corded Ware,Culture,Random
-27.8963675338343,14.8519626658424,-57.0130548839786,-27.9007440139609,1.24492802738635,-27.909642979544,3.7717373279713e-11,Left,Dnieper-Donets,Culture,Random
9.45517303130857,9.81901178519003,-9.80113849576673,9.455065934307,28.7120913860709,9.45485242329652,5.48977626510814e-11,Left,Lažňany,Culture,Random
12.8528940165177,9.83845943876482,-6.43857128112621,12.8517111193618,32.1510559735237,12.8493474602624,5.49584985865579e-11,Left,Linearbandkeramik,Culture,Random
9.81419467448281,9.90260038083606,-9.59456000447929,9.80994342451764,29.2469693329196,9.80140560799058,6.82849218415693e-11,Left,Sopot,Culture,Random
-24.7902734281246,15.1665300916404,-54.5345929665797,-24.7902784460635,4.9540650605364,-24.7902971540179,4.92424965778369e-11,Left,Trichterbecher,Culture,Random
7.08661801124148,9.80681757972621,-12.1460067254116,7.08660086548408,26.3193408326228,7.0865675563901,5.55170688223854e-11,Left,Únětice,Culture,Random
