mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type,Effect
-10.2432389026208,9.7338199631593,-29.3327666299991,-10.2432376724985,8.84628186432467,-10.243235210967,5.52776680435384e-11,Left,Intercept,Intercept,Fixed
-6.91450883982294,9.66234151962092,-25.8638580349082,-6.9145070068752,12.0348299832446,-6.9145033396307,5.52769702366206e-11,Right,Intercept,Intercept,Fixed
-2.76459626305384,0.675774671951047,-4.11995850377088,-2.76730994028232,-1.37488760100494,-2.76341393397076,1.34049362150983e-06,Back,Intercept,Intercept,Fixed
0.277712690260874,0.979700722979432,-1.76828208650295,0.311189918712995,2.13589016719992,0.371780830559295,5.56049856127391e-08,Back,EHG,Ancestry,Fixed
-0.678118273970661,0.799752890561726,-2.4027617813467,-0.628340099129289,0.772944335845097,-0.534503260121939,2.32737440224222e-07,Back,LVN,Ancestry,Fixed
-2.23813455474952,0.569586507903826,-3.36490388168324,-2.23734414232284,-1.1178014875294,-2.23730312417268,1.24404946520043e-08,Back,CHG,Ancestry,Fixed
10.5053908220565,9.73977876190549,-8.59560199783122,10.5053130650777,29.6068237000292,10.5051575498498,5.52243573068742e-11,Left,Baden,Culture,Random
-27.7332009783158,14.5469296088043,-56.2630933425839,-27.7328195568227,0.79452979111036,-27.7320595419692,5.47638557515865e-11,Left,Baltic Meso-Neolithic,Culture,Random
10.550096996135,9.73502119700425,-8.54177984951714,10.5500958565739,29.6419802901623,10.5500935766067,5.52772226253338e-11,Left,Bell Beaker,Culture,Random
10.2901192123919,9.73653856485838,-8.80473447608926,10.2901184181684,29.384977396202,10.2901168301681,5.5275584699089e-11,Left,Corded Ware,Culture,Random
-27.6352784902189,14.4200668610238,-55.9152470750438,-27.635282096978,0.644710506106868,-27.6352893111687,5.5267505838175e-11,Left,Dnieper-Donets,Culture,Random
9.24736049108212,9.75173730014836,-9.87728626045091,9.24735418507258,28.372042937939,9.2473415795732,5.52370875276688e-11,Left,Lažňany,Culture,Random
11.7770921828819,9.73796788128145,-7.32056324869715,11.7770907875454,30.8747555098186,11.7770879954981,5.52673768812204e-11,Left,Linearbandkeramik,Culture,Random
10.4649273658662,9.74395985576399,-8.64452250760849,10.4649409730469,29.5743002151927,10.4649681729914,5.52485932094487e-11,Left,Sopot,Culture,Random
-25.3718998764904,15.2031187165463,-55.18765421193,-25.3718696578022,4.44368357842638,-25.3718090883912,5.51997365569977e-11,Left,Trichterbecher,Culture,Random
7.66215150252255,9.74053329528645,-11.4405463541211,7.66215419439193,26.7648341291246,7.66215958229813,5.52747772691672e-11,Left,Únětice,Culture,Random
6.5404536175379,9.66657866676757,-12.4174019183986,6.54052385588016,25.4979115333279,6.54066422685163,5.52087897217944e-11,Right,Baden,Culture,Random
3.16142318324518,9.70869889176843,-15.878897036816,3.16144430582273,22.2016238016681,3.16148649429749,5.52183419499333e-11,Right,Baltic Meso-Neolithic,Culture,Random
6.44584002416895,9.66352994279511,-12.505838256652,6.44584128507553,25.3975111696704,6.44584380754798,5.52765002769069e-11,Right,Bell Beaker,Culture,Random
6.81068150255456,9.66485219661995,-12.1435961148326,6.81068491123584,25.7649398296109,6.81069172942423,5.52736613337524e-11,Right,Corded Ware,Culture,Random
-29.74343790822,14.1823941673731,-57.5573466940113,-29.7434243262197,-1.92960601940414,-29.7433971911725,5.51944831032282e-11,Right,Dnieper-Donets,Culture,Random
7.91007718047825,9.67954861429749,-11.0729573910902,7.91005692891577,26.893226407704,7.91001646680218,5.52260699935175e-11,Right,Lažňany,Culture,Random
4.28047672967658,9.66948431354006,-14.6828103500391,4.2804534350132,23.2438956570464,4.28040685810051,5.52562442365621e-11,Right,Linearbandkeramik,Culture,Random
5.83880207493587,9.67400315129759,-13.1333460872887,5.83877813209097,24.8110857813279,5.83873028548292,5.52373196532363e-11,Right,Sopot,Culture,Random
-27.2316571979798,14.9145755830899,-56.4814612571644,-27.2316552542871,2.01813584793322,-27.2316513793174,5.5081686067265e-11,Right,Trichterbecher,Culture,Random
9.07283334064154,9.66739282712718,-9.88640697825351,9.0728297149779,28.0320941754632,9.07282246055771,5.52729709625133e-11,Right,Únětice,Culture,Random
