Run,Performance,Variable
1,0.630021141649049,Left
2,0.661733615221987,Left
3,0.640591966173362,Left
4,0.640591966173362,Left
5,0.625792811839323,Left
6,0.657505285412262,Left
7,0.630021141649049,Left
8,0.651162790697675,Left
9,0.653276955602537,Left
10,0.623678646934461,Left
11,0.653276955602537,Left
12,0.6723044397463,Left
13,0.632135306553911,Left
14,0.632135306553911,Left
15,0.617336152219873,Left
16,0.6553911205074,Left
17,0.646934460887949,Left
18,0.613107822410148,Left
19,0.630021141649049,Left
20,0.638477801268499,Left
21,0.621564482029598,Left
22,0.649048625792812,Left
23,0.617336152219873,Left
24,0.636363636363636,Left
25,0.636363636363636,Left
26,0.604651162790698,Left
27,0.623678646934461,Left
28,0.632135306553911,Left
29,0.625792811839323,Left
30,0.646934460887949,Left
31,0.646934460887949,Left
32,0.651162790697675,Left
33,0.642706131078224,Left
34,0.636363636363636,Left
35,0.646934460887949,Left
36,0.627906976744186,Left
37,0.659619450317125,Left
38,0.638477801268499,Left
39,0.653276955602537,Left
40,0.642706131078224,Left
41,0.649048625792812,Left
42,0.619450317124736,Left
43,0.632135306553911,Left
44,0.661733615221987,Left
45,0.678646934460888,Left
46,0.630021141649049,Left
47,0.668076109936575,Left
48,0.649048625792812,Left
49,0.587737843551797,Left
50,0.625792811839323,Left
51,0.644820295983087,Left
52,0.638477801268499,Left
53,0.617336152219873,Left
54,0.642706131078224,Left
55,0.632135306553911,Left
56,0.659619450317125,Left
57,0.623678646934461,Left
58,0.610993657505285,Left
59,0.646934460887949,Left
60,0.627906976744186,Left
61,0.621564482029598,Left
62,0.649048625792812,Left
63,0.651162790697675,Left
64,0.642706131078224,Left
65,0.6553911205074,Left
66,0.638477801268499,Left
67,0.665961945031713,Left
68,0.682875264270613,Left
69,0.6553911205074,Left
70,0.638477801268499,Left
71,0.636363636363636,Left
72,0.640591966173362,Left
73,0.642706131078224,Left
74,0.625792811839323,Left
75,0.659619450317125,Left
76,0.627906976744186,Left
77,0.602536997885835,Left
78,0.636363636363636,Left
79,0.581395348837209,Left
80,0.625792811839323,Left
81,0.659619450317125,Left
82,0.653276955602537,Left
83,0.634249471458774,Left
84,0.619450317124736,Left
85,0.638477801268499,Left
