mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type,Effect
-11.0103545549472,9.80096077314093,-30.231552905621,-11.0103543321842,8.21084253533576,-11.0103538863545,5.52782816795216e-11,Left,Intercept,Intercept,Fixed
2.71341735290984,0.210359262293669,2.25108617534694,2.72870476212899,3.08903697070213,2.75423135557917,3.74552029131479e-07,Left,Mobility,Mobility,Fixed
2.53677838339269,1.91747599488365,-1.22355747489665,2.53672701703298,6.29740595753502,2.53662525165658,5.34851147936567e-11,Left,EHG,Ancestry,Fixed
2.01358471317862,2.1163098733378,-2.13652082656433,2.01346818059062,6.16435228576437,2.01323753380984,5.26862163973367e-11,Left,LVN,Ancestry,Fixed
0.33156431518721,0.322578966523486,-0.301061452073771,0.331562868311431,0.964198118049979,0.331559827444734,5.33651197602227e-11,Left,CHG,Ancestry,Fixed
-9.06413508208175,9.79106048069489,-28.2659909522278,-9.06410876070126,10.1375718999043,-9.06405604639762,5.52859914305822e-11,Right,Intercept,Intercept,Fixed
-0.182140921383104,0.202213269416903,-0.593946568989288,-0.17660398711103,0.200407752155638,-0.164382241494262,5.72723061346592e-08,Right,Mobility,Mobility,Fixed
-2.00940458546103,2.08326789738451,-6.09491512971219,-2.00944208170121,2.0763184475301,-2.00951680575852,5.45491898857166e-11,Right,EHG,Ancestry,Fixed
-0.53406217313839,2.19865073541813,-4.84604368425646,-0.534036152296551,3.7777710445111,-0.533985095573538,5.38108732191369e-11,Right,LVN,Ancestry,Fixed
0.698823383706074,0.371822347298862,-0.0305314953775062,0.698876677746679,1.42787678928233,0.69898338961859,5.54072107658618e-11,Right,CHG,Ancestry,Fixed
-7.33297283802096,10.0192633067048,-26.9822846968375,-7.33297665247598,12.3163606012433,-7.33298428818811,5.52793709266223e-11,Back,Intercept,Intercept,Fixed
-0.196848554872929,0.524822487462691,-1.22610877755551,-0.196847810119533,0.83240745162611,-0.196846321846261,5.52049801352099e-11,Back,Mobility,Mobility,Fixed
-4.60227907407192,3.27825075048616,-11.0311313801746,-4.60238810622288,1.8271901551307,-4.6026062959081,5.50507419436926e-11,Back,EHG,Ancestry,Fixed
-7.05586056453257,3.62523768872386,-14.1653135655314,-7.05593175918823,0.0539952734649107,-7.05607422673519,5.50954702867312e-11,Back,LVN,Ancestry,Fixed
-0.494516925048368,0.780848282959636,-2.0258877824206,-0.494514624771151,1.036840921479,-0.494510017204778,5.51961153217416e-11,Back,CHG,Ancestry,Fixed
12.9495639380141,9.81247255943255,-6.29422568877946,12.9495694150362,32.1933225760164,12.949580376679,5.52778711048644e-11,Left,Baden,Culture,Random
-26.6840442580194,16.7600873253519,-59.553084320227,-26.6840728392619,6.18515748719648,-26.6841300682842,5.52608401026557e-11,Left,Baltic Meso-Neolithic,Culture,Random
9.90257566313924,9.83259558918134,-9.38066235387634,9.90257549986209,29.1858146039415,9.90257517305333,5.52783511510464e-11,Left,Bell Beaker,Culture,Random
8.2065883156869,9.84376106891007,-11.0985471434351,8.20658822803183,27.5117242707547,8.20658805259686,5.5278263937146e-11,Left,Corded Ware,Culture,Random
-25.1279165426822,14.7195801698895,-53.9951875507077,-25.1279519867511,3.7395549283025,-25.1280229977443,5.52586356528237e-11,Left,Dnieper-Donets,Culture,Random
9.06249150688726,9.86883550705288,-10.2918232151301,9.06249297227992,28.416797937076,9.06249590444767,5.52778693714115e-11,Left,Lažňany,Culture,Random
12.8556610665348,9.87665287946318,-6.5139949381208,12.8556661305135,32.2252884178717,12.8556762640703,5.52775152485356e-11,Left,Linearbandkeramik,Culture,Random
6.08979294707404,9.90695915907193,-13.3391797421486,6.08975588999982,25.5189753105051,6.08968173086322,5.52654295550158e-11,Left,Sopot,Culture,Random
-23.9799654768015,16.7809244870341,-56.8900321754425,-23.9799364512249,8.92993702770789,-23.97987833014,5.52775041020055e-11,Left,Trichterbecher,Culture,Random
5.71490222167939,9.86766753754427,-13.637118357816,5.71490243167117,25.0669216130331,5.71490285193132,5.52784046504943e-11,Left,Únětice,Culture,Random
9.23261775507357,9.80932577566413,-10.0050159929707,9.23262871698921,28.4701894866601,9.23265066135817,5.52795224870746e-11,Right,Baden,Culture,Random
-24.6910227471043,14.7395024942442,-53.5975959692991,-24.6909781383049,4.21529835979441,-24.6908885959968,5.51776478393222e-11,Right,Baltic Meso-Neolithic,Culture,Random
9.96148030124497,9.82961065760068,-9.31590296329157,9.96147983846412,29.2388661841021,9.9614789121878,5.52781010281463e-11,Right,Bell Beaker,Culture,Random
10.4750958373805,9.843301619722,-8.82913882587387,10.475095835446,29.7793305116342,10.4750958316248,5.52779977159612e-11,Right,Corded Ware,Culture,Random
-28.7945898333785,15.636984503756,-59.4610552616133,-28.7946166217444,1.87202689688041,-28.7946704855401,5.52855991018617e-11,Right,Dnieper-Donets,Culture,Random
9.48877785258464,9.88729794525177,-9.90174623302193,9.48877991105637,28.8792902910617,9.48878403050641,5.5277896470113e-11,Right,Lažňany,Culture,Random
