mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type
-0.494131103304927,0.365646872169618,-1.27578849289409,-0.474915437940824,0.179767236466092,-0.439927629614119,1.30809574565535e-07,Left,Intercept,Intercept
0.0369164868538599,0.119681987097549,-0.200339583359737,0.0377777732875548,0.269347396467392,0.0395251820346614,4.81565402025105e-09,Left,Mobility,Mobility
0.566169820651159,0.233147635868309,0.117821949282051,0.562483611981279,1.03522090880291,0.555164377336418,2.29569568596484e-08,Left,Steppe,Ancestry
2.01844759753933,0.811040241870406,0.481665204491866,1.99681490593975,3.67754843330247,1.95522085111647,5.02482466953572e-08,Left,LVN,Ancestry
-1.22889760654205,0.569230049365912,-2.60540208143504,-1.13757424116676,-0.355621288930915,-0.983030371291712,9.91017272612541e-06,Right,Intercept,Intercept
-0.111425393710705,0.131048064866987,-0.364721145831809,-0.11273837274385,0.149273003774584,-0.11537022331365,9.72562494068247e-09,Right,Mobility,Mobility
0.0915073301440481,0.220211879421267,-0.364200683921828,0.099877074892184,0.50139874944669,0.117430903573022,1.18695214437997e-07,Right,Steppe,Ancestry
0.281412982101847,0.61025328151274,-0.97052520600934,0.297470648243864,1.43946584696946,0.326309896972485,5.19711947729082e-08,Right,LVN,Ancestry
-1.19786496228267,0.771628921667814,-2.51400897195219,-1.27632860843088,0.562588940127407,-1.4167807297011,8.25120100507427e-07,Back,Intercept,Intercept
0.171768029241346,0.230659617911037,-0.286612734040187,0.173620984526057,0.620077318161346,0.177605404603701,7.64694300836558e-09,Back,Mobility,Mobility
-1.42621412715059,0.458819217166226,-2.35030484952614,-1.41908197383325,-0.544213338552516,-1.40627711116571,2.49175146227617e-08,Back,Steppe,Ancestry
-4.38276830218779,1.41356727987225,-7.35459007140228,-4.3294420543932,-1.74470909527496,-4.24629109766207,8.07050677007323e-08,Back,LVN,Ancestry
