mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type
-1.02907775259901,0.25580618866416,-1.53127356362418,-1.03014331334051,-0.523217717804796,-1.03393405761554,1.0346919931667e-08,Left,Intercept,Intercept
-0.118422344435206,0.12008645186534,-0.354794855336477,-0.118104279495091,0.116199418037712,-0.117428792692663,6.95154570305427e-10,Left,Mobility,Mobility
11.578943222324,9.2459617327798,1.15526714862524,8.94621900509126,39.3121918421507,6.81020964808274,1.70933800961596e-05,Left,EHG,Ancestry
10.9835157040782,9.23017134797155,0.653443125225046,8.32457028303503,38.7005256195238,6.1940042220864,1.91467036876289e-05,Left,WHG,Ancestry
17.4238235917369,13.568948870052,2.23419337415606,13.5078414482911,58.094047278858,10.308971722953,1.96331430789955e-05,Left,LVN,Ancestry
1.54184552065089,1.22091743569004,0.128228396249698,1.1998597792744,5.15535768499557,0.929879749288486,1.39294406058803e-05,Left,CHG,Ancestry
-1.7001889047372,0.260561323891081,-2.25229963171406,-1.68623334665678,-1.22552935387694,-1.65785608230036,2.09900207765785e-07,Right,Intercept,Intercept
0.0846668329470956,0.114679689481444,-0.139665312153097,0.0844402733659415,0.310279251534729,0.0839867559520269,3.77419725081023e-10,Right,Mobility,Mobility
24.5087628864255,8.27889910906556,8.25259317523272,24.5928623026852,40.5333355985335,24.9479471537774,2.53601271064539e-08,Right,EHG,Ancestry
24.0880278516371,8.24561440096982,7.88467106225868,24.1784880623965,40.0334749077944,24.5524549514913,2.64419584505388e-08,Right,WHG,Ancestry
35.6306218359806,12.0445101933156,11.9795473283853,35.756112651692,58.9369500068818,36.2863646354106,2.6392423020934e-08,Right,LVN,Ancestry
3.16670831087675,1.04833450055391,1.11241674993103,3.17294419579704,5.20685375634202,3.20155569979752,1.4057430499738e-08,Right,CHG,Ancestry
-0.664986072547704,0.707819508755656,-1.9782462664629,-0.697411573163747,0.841263682325743,-0.752103170754708,1.02669774794959e-06,Back,Intercept,Intercept
-0.0590967810502638,0.187843593182619,-0.424767308694564,-0.0602661474262937,0.313147678716943,-0.0626263564987886,4.40081790311776e-09,Back,Mobility,Mobility
-4.00968256158543,1.96381152794498,-7.94378386288386,-3.98216556909352,-0.225449001327791,-3.923549857355,1.69410970164893e-08,Back,EHG,Ancestry
-3.75462431890113,1.85861221172717,-7.48169847585819,-3.72723551460673,-0.176532474029134,-3.66879713606964,1.85256559781692e-08,Back,WHG,Ancestry
-5.68408929740811,2.75107924750113,-11.1970899188941,-5.64455678899739,-0.385266063849551,-5.55950560542744,1.74508647494962e-08,Back,LVN,Ancestry
-0.722194967858871,0.342858410346829,-1.4091538886794,-0.717512733921425,-0.0614600676807914,-0.708088022836585,1.72159133854949e-08,Back,CHG,Ancestry
