Mean,SD,Variable,Model
0.677225891677675,0.677225891677675,Left,Baseline
0.707635402906209,0.0149087054184112,Right,Baseline
0.915746367239102,0.00863607185947841,Back,Baseline
0.675838837516513,0.0154327374077604,Left,Full model
0.706116248348745,0.0122208895728226,Right,Full model
0.913130779392338,0.00886876169872066,Back,Full model
0.676354029062087,0.0140744371842025,Left,Best model
0.695204755614267,0.0256529372030063,Right,Best model
0.915746367239102,0.00863607185947841,Back,Best model
