mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type
-0.982505304652876,0.26948985840706,-1.54578203595784,-0.971619092513949,-0.48105960786347,-0.951052542116518,9.92532154216706e-08,Left,Intercept,Intercept
0.591936592106806,0.438533563310423,-0.274997477191772,0.593817646585308,1.44821797756758,0.597552974163782,3.34909793070132e-09,Left,EHG,Ancestry
1.33647363851868,0.453232344113061,0.448217538776453,1.33581309040259,2.22857961433143,1.33460329905831,1.26584616394606e-09,Left,LVN,Ancestry
0.106659162243103,0.188458876974929,-0.262519144538155,0.106367808443059,0.477489359317859,0.105789218111665,8.15690624414914e-10,Left,CHG,Ancestry
-0.0873703429537162,0.117638239007887,-0.319206097216181,-0.0870020070630736,0.142383232433651,-0.08626561670882,9.48898761923492e-10,Left,Mobility,Mobility
-1.72045912403482,0.271691186950534,-2.30282651969188,-1.70419849897399,-1.22985809151705,-1.67283338148602,2.38146571164453e-07,Right,Intercept,Intercept
0.256693587823432,0.379620218959628,-0.492942686573028,0.257981565958553,0.999128496276014,0.260616209549591,3.23188285340651e-09,Right,EHG,Ancestry
0.465220829984336,0.361082545744631,-0.242354005006888,0.464603697719906,1.17631389500503,0.463402662105055,1.79352787676513e-09,Right,LVN,Ancestry
0.0922642579042108,0.182531130435079,-0.268262164845047,0.0930899870321729,0.448205568023248,0.0948089405275862,1.94771106969546e-09,Right,CHG,Ancestry
0.120616184457922,0.114576542718552,-0.102999115768347,0.120208488622346,0.346530515788489,0.119388801836668,1.20929151680457e-09,Right,Mobility,Mobility
-0.411456434108718,0.730708992637817,-1.75728421388999,-0.448075912742825,1.13924440351316,-0.517569135708136,1.16895848858397e-07,Back,Intercept,Intercept
-0.113634778615247,0.380080678558157,-0.859809347540783,-0.113770554763528,0.633246756193673,-0.114106784502372,1.45962984169653e-09,Back,EHG,Ancestry
-0.167322625579606,0.362202594615358,-0.876673914231346,-0.168245930293426,0.546660836013708,-0.170672519023093,2.77353897743763e-09,Back,LVN,Ancestry
-0.278146783433675,0.258240567685973,-0.789943286271461,-0.276594150707607,0.224779547418381,-0.273597299274981,4.9579651714952e-09,Back,CHG,Ancestry
-0.0817004878282076,0.186328763324364,-0.445867607857843,-0.0822773863896078,0.285968869675442,-0.0831841891437628,2.09492034212227e-09,Back,Mobility,Mobility
