waic,dic,mlik,Model,Variable
582.36470762023,589.750272581208,-331.27516758782,baseline,Left
586.561941442762,593.484239119788,-339.954118156886,baseline + no WHG ancestry,Left
584.710990779531,590.52812234859,-343.091953649267,baseline + no WHG ancestry + mobility,Left
541.816781770501,544.860968254602,-295.193949867494,baseline,Right
540.427558480626,543.826849759553,-307.574354920166,baseline + no WHG ancestry,Right
535.022457088537,537.765627046854,-307.53561276053,baseline + no WHG ancestry + mobility,Right
437.603051336343,445.670287017827,-255.789088073863,baseline,Back
441.713687983497,449.434786018187,-270.815941446823,baseline + no WHG ancestry,Back
442.786209083634,450.840715290028,-274.570128715844,baseline + no WHG ancestry + mobility,Back
