mean,sd,0.025quant,0.5quant,0.975quant,mode,kld,Variable,Predictors,Type
-1.18589871409133,0.416111318554516,-2.04963319310862,-1.1717948211659,-0.401653824873016,-1.14498658631865,5.85987650019035e-08,Left,Intercept,Intercept
0.605837597585796,0.619004929825764,-0.598234957371824,0.60050803162112,1.83987056024405,0.589911778271286,1.33375497803919e-08,Left,EHG,Ancestry
1.44024452679691,0.510570713943833,0.457507957760835,1.43205148474349,2.46944988323641,1.41608206938486,2.68506804253761e-08,Left,LVN,Ancestry
-0.446795455276797,0.350165599410839,-1.15261224295782,-0.441075265314083,0.226258362536586,-0.430197429825864,2.53247733075182e-08,Left,CHG,Ancestry
-0.571162307128424,0.305667060808146,-1.17945340101584,-0.568419644983913,0.0215176750914725,-0.563072086831182,8.40186919130631e-09,Left,Mobility,Mobility
-2.23169162460556,0.318292273827408,-2.89684895014385,-2.2180701128316,-1.64241026654919,-2.19115432473414,1.2219967338478e-07,Right,Intercept,Intercept
-0.757177946141727,0.446714572120798,-1.6473566220598,-0.753304656906395,0.110881089203199,-0.745870087218147,1.11572464074001e-08,Right,EHG,Ancestry
-0.281577245115953,0.368279566043389,-0.999815858588384,-0.283583202061582,0.447747614898278,-0.287752505664738,4.5908374748844e-09,Right,LVN,Ancestry
0.383091422933215,0.268703196938088,-0.142512232707713,0.382240898223983,0.913574445389579,0.380610056148318,3.25573602447246e-09,Right,CHG,Ancestry
0.861306891662515,0.267487087225452,0.343711240630874,0.858453695655622,1.39522895791285,0.852972598085409,1.19633312618307e-08,Right,Mobility,Mobility
-0.909590344656346,0.752956348708086,-2.38174686469855,-0.920945334562972,0.635061769841174,-0.936235613039366,1.18018699031867e-07,Back,Intercept,Intercept
-0.324864596661639,0.435257492901414,-1.18703668164679,-0.322853972009328,0.525848970127021,-0.31895425051033,7.35349581405679e-09,Back,EHG,Ancestry
-0.291882209499947,0.407008249010588,-1.09352205738732,-0.291433630673647,0.507352842748114,-0.29043802888313,3.84850758220953e-09,Back,LVN,Ancestry
-0.0391325583927765,0.351371009554036,-0.732698487019913,-0.0384693401183558,0.650641930033362,-0.0371814130788327,7.55642875783493e-09,Back,CHG,Ancestry
-0.150184781245966,0.282815625712669,-0.699332943721194,-0.152296604161076,0.410906841392059,-0.156503278283116,5.35408563965999e-09,Back,Mobility,Mobility
