Run,Performance,Model,Variable
13,0.693527080581242,Best model,Right
14,0.696169088507266,Best model,Right
15,0.715984147952444,Best model,Right
16,0.705416116248349,Best model,Right
17,0.700132100396301,Best model,Right
18,0.635402906208719,Best model,Right
19,0.705416116248349,Best model,Right
20,0.688243064729194,Best model,Right
21,0.706737120211361,Best model,Right
22,0.693527080581242,Best model,Right
23,0.626155878467635,Best model,Right
24,0.702774108322325,Best model,Right
25,0.647291941875826,Best model,Right
26,0.684280052840158,Best model,Right
27,0.722589167767503,Best model,Right
28,0.642007926023778,Best model,Right
29,0.700132100396301,Best model,Right
30,0.696169088507266,Best model,Right
31,0.696169088507266,Best model,Right
32,0.710700132100396,Best model,Right
33,0.710700132100396,Best model,Right
34,0.693527080581242,Best model,Right
35,0.632760898282695,Best model,Right
36,0.704095112285337,Best model,Right
37,0.690885072655218,Best model,Right
38,0.709379128137385,Best model,Right
39,0.693527080581242,Best model,Right
40,0.627476882430647,Best model,Right
41,0.702774108322325,Best model,Right
42,0.647291941875826,Best model,Right
43,0.680317040951123,Best model,Right
44,0.701453104359313,Best model,Right
45,0.653896961690885,Best model,Right
46,0.714663143989432,Best model,Right
47,0.698811096433289,Best model,Right
48,0.723910171730515,Best model,Right
49,0.701453104359313,Best model,Right
50,0.715984147952444,Best model,Right
51,0.702774108322325,Best model,Right
52,0.693527080581242,Best model,Right
53,0.722589167767503,Best model,Right
54,0.726552179656539,Best model,Right
55,0.725231175693527,Best model,Right
56,0.730515191545575,Best model,Right
57,0.718626155878468,Best model,Right
58,0.698811096433289,Best model,Right
59,0.678996036988111,Best model,Right
60,0.729194187582563,Best model,Right
61,0.64332892998679,Best model,Right
62,0.700132100396301,Best model,Right
63,0.689564068692206,Best model,Right
64,0.700132100396301,Best model,Right
65,0.710700132100396,Best model,Right
66,0.709379128137385,Best model,Right
67,0.700132100396301,Best model,Right
68,0.737120211360634,Best model,Right
69,0.710700132100396,Best model,Right
70,0.702774108322325,Best model,Right
71,0.697490092470277,Best model,Right
72,0.69220607661823,Best model,Right
73,0.712021136063408,Best model,Right
74,0.712021136063408,Best model,Right
75,0.708058124174373,Best model,Right
76,0.71334214002642,Best model,Right
77,0.706737120211361,Best model,Right
78,0.700132100396301,Best model,Right
79,0.688243064729194,Best model,Right
80,0.71334214002642,Best model,Right
81,0.694848084544254,Best model,Right
82,0.701453104359313,Best model,Right
83,0.704095112285337,Best model,Right
84,0.71334214002642,Best model,Right
85,0.698811096433289,Best model,Right
86,0.71334214002642,Best model,Right
87,0.702774108322325,Best model,Right
88,0.657859973579921,Best model,Right
89,0.704095112285337,Best model,Right
90,0.702774108322325,Best model,Right
91,0.726552179656539,Best model,Right
92,0.678996036988111,Best model,Right
93,0.694848084544254,Best model,Right
94,0.659180977542933,Best model,Right
95,0.71334214002642,Best model,Right
96,0.694848084544254,Best model,Right
97,0.722589167767503,Best model,Right
98,0.702774108322325,Best model,Right
99,0.714663143989432,Best model,Right
100,0.705416116248349,Best model,Right
1,0.911492734478203,Best model,Back
