DIC,Model,WAIC
3245.76656382383,Space + time + ancestry + culture,3247.1159734544
3243.97250718451,Space + time + culture,3244.90773503697
3280.94006666253,Space + time + ancestry,3281.38211518057
3240.23606431099,Culture only,3240.93496100967
3289.54079634089,Ancestry only,3289.75878899648
3293.60526059519,Space + time,3293.80118018858
